size, heap sort, insertion sort, merge sort, quick sort
10, 4.01, 2.92, 15.27, 2.44
20, 0.07, 0.02, 0.16, 0.02
30, 0.04, 0.02, 0.17, 0.02
40, 0.06, 0.04, 0.2, 0.04
50, 0.08, 0.07, 0.25, 0.06
60, 0.1, 0.1, 0.5, 0.08
70, 0.12, 0.13, 0.34, 0.1
80, 0.14, 0.17, 0.49, 0.12
90, 0.16, 0.21, 0.56, 0.16
100, 0.19, 0.22, 0.57, 0.15
200, 0.4, 0.81, 1.05, 0.52
300, 0.64, 1.81, 1.84, 1.12
400, 0.92, 3.2, 2.27, 1.95
500, 1.23, 4.99, 12.01, 3.11
600, 1.48, 7.18, 2.55, 4.32
700, 1.76, 9.76, 2.86, 5.91
800, 2.25, 12.78, 3.4, 7.8
900, 2.37, 16.26, 3.7, 9.46
1000, 2.93, 20.01, 5.68, 11.49
2000, 6.04, 80.37, 12.27, 48.05
3000, 9.3, 179.31, 20, 94.23
4000, 12.89, 319.38, 27.76, 153.56
5000, 16.56, 510.82, 35.56, 223.86
6000, 20.34, 727.62, 30.47, 286.92
7000, 24.22, 1005.65, 36.66, 366.65
8000, 28.04, 1306.14, 36.37, 454.06
9000, 32.65, 1644.9, 43.59, 544.62
